,Unnamed: 0,user id,test group,converted,total ads,most ads day,most ads hour
284494,284494,1654416,ad,False,12,Thursday,22
585056,585056,1654415,ad,False,1,Tuesday,9
499435,499435,1654414,ad,False,4,Wednesday,19
203268,203268,1654413,ad,False,3,Wednesday,9
272936,272936,1654412,ad,False,34,Saturday,16
575643,575643,1654411,ad,False,1,Sunday,2
250754,250754,1654410,ad,False,21,Sunday,22
12232,12232,1654409,ad,False,54,Thursday,19
34797,34797,1654408,ad,False,66,Wednesday,16
81410,81410,1654407,ad,False,28,Thursday,22
274222,274222,1654406,ad,False,16,Wednesday,12
231183,231183,1654404,ad,False,25,Friday,21
576445,576445,1654403,ad,False,1,Sunday,11
435693,435693,1654400,ad,False,3,Saturday,14
511703,511703,1654399,ad,False,2,Wednesday,11
68023,68023,1654398,ad,False,47,Thursday,13
404725,404725,1654397,ad,False,18,Tuesday,15
407384,407384,1654396,ad,False,103,Saturday,7
275203,275203,1654394,ad,False,7,Thursday,9
565347,565347,1654393,ad,False,8,Thursday,18
495085,495085,1654392,ad,False,56,Friday,19
35123,35123,1654391,ad,False,198,Friday,10
414928,414928,1654390,ad,False,1,Wednesday,23
144353,144353,1654389,ad,False,11,Friday,14
105150,105150,1654388,ad,False,37,Saturday,16
463924,463924,1654386,ad,False,12,Sunday,11
495719,495719,1654385,ad,False,45,Friday,20
292633,292633,1654383,ad,False,16,Friday,13
40050,40050,1654382,ad,False,63,Saturday,11
362354,362354,1654381,ad,False,5,Friday,17
229472,229472,1654379,ad,False,111,Monday,23
185915,185915,1654378,ad,False,28,Wednesday,14
202179,202179,1654377,ad,False,18,Monday,17
241243,241243,1654376,ad,False,15,Saturday,21
308856,308856,1654375,ad,False,31,Sunday,9
300464,300464,1654374,ad,False,15,Friday,12
546662,546662,1654373,ad,False,26,Monday,17
424545,424545,1654372,ad,False,7,Saturday,12
381257,381257,1654371,ad,False,11,Wednesday,17
27478,27478,1654369,ad,False,7,Wednesday,12
74833,74833,1654368,ad,False,49,Sunday,1
263190,263190,1654367,ad,False,18,Tuesday,10
310628,310628,1654366,ad,False,2,Sunday,14
351308,351308,1654365,ad,False,18,Wednesday,12
186760,186760,1654364,ad,False,10,Monday,9
327204,327204,1654362,ad,False,27,Wednesday,10
234792,234792,1654361,ad,False,53,Wednesday,11
417103,417103,1654360,ad,False,8,Tuesday,22
272905,272905,1654359,ad,False,2,Wednesday,11
483075,483075,1654358,ad,False,2,Wednesday,17
202540,202540,1654357,ad,False,38,Friday,9
398169,398169,1654355,ad,False,14,Monday,8
202003,202003,1654354,ad,False,31,Sunday,10
195038,195038,1654353,ad,False,38,Saturday,18
475383,475383,1654352,ad,False,19,Sunday,14
434040,434040,1654351,ad,False,23,Sunday,16
115941,115941,1654349,ad,False,18,Saturday,18
564977,564977,1654348,ad,False,3,Thursday,17
21657,21657,1654347,ad,False,156,Thursday,19
576286,576286,1654345,ad,False,5,Sunday,10
128744,128744,1654344,ad,False,25,Wednesday,11
524829,524829,1654342,ad,False,2,Friday,10
305960,305960,1654341,ad,False,20,Saturday,23
174089,174089,1654340,ad,False,68,Saturday,9
94985,94985,1654339,ad,False,30,Tuesday,15
536556,536556,1654338,ad,False,1,Sunday,10
425099,425099,1654337,ad,False,5,Saturday,22
446733,446733,1654336,ad,False,1,Sunday,16
435316,435316,1654334,ad,False,14,Saturday,15
2658,2658,1654333,ad,False,29,Saturday,19
405578,405578,1654331,ad,False,3,Wednesday,9
516764,516764,1654330,ad,False,14,Wednesday,20
306809,306809,1654329,ad,False,9,Saturday,19
374996,374996,1654328,ad,False,16,Thursday,12
110559,110559,1654327,ad,False,22,Friday,15
419623,419623,1654326,ad,False,19,Thursday,23
395623,395623,1654325,ad,False,6,Sunday,21
447806,447806,1654323,ad,False,4,Sunday,20
408458,408458,1654321,ad,False,2,Friday,13
158424,158424,1654320,ad,False,27,Tuesday,11
5092,5092,1654319,ad,False,78,Thursday,20
498705,498705,1654318,ad,False,1,Saturday,14
142391,142391,1654317,ad,False,23,Thursday,23
556913,556913,1654316,ad,False,2,Wednesday,14
572485,572485,1654315,ad,False,3,Saturday,11
258800,258800,1654314,ad,False,7,Tuesday,13
441418,441418,1654313,ad,False,17,Sunday,8
35971,35971,1654312,ad,False,41,Friday,22
473394,473394,1654311,ad,False,2,Saturday,14
412530,412530,1654310,ad,False,1,Wednesday,19
290513,290513,1654309,ad,False,16,Sunday,17
458435,458435,1654308,ad,False,2,Wednesday,9
416547,416547,1654307,ad,False,35,Sunday,16
288932,288932,1654306,ad,False,28,Friday,20
479391,479391,1654305,ad,False,1,Tuesday,10
101075,101075,1654304,ad,False,43,Wednesday,13
398184,398184,1654303,ad,False,30,Wednesday,8
490672,490672,1654302,ad,False,10,Thursday,23
584242,584242,1654301,ad,False,7,Tuesday,22
435698,435698,1654300,ad,False,1,Saturday,14
111169,111169,1654299,ad,False,73,Tuesday,16
89059,89059,1654298,ad,False,33,Monday,22
195690,195690,1654296,ad,False,7,Tuesday,11
465657,465657,1654295,ad,False,2,Thursday,15
564934,564934,1654294,ad,False,3,Thursday,16
179711,179711,1654293,ad,False,66,Saturday,17
462738,462738,1654292,ad,False,43,Wednesday,21
322649,322649,1654290,ad,False,30,Thursday,9
225405,225405,1654288,ad,False,5,Friday,21
171012,171012,1654287,ad,False,13,Sunday,12
503438,503438,1654286,ad,False,4,Sunday,14
457901,457901,1654284,ad,False,1,Wednesday,7
285,285,1654283,ad,False,233,Thursday,16
584058,584058,1654282,ad,False,2,Monday,21
345588,345588,1654281,ad,False,15,Monday,8
443914,443914,1654280,ad,False,1,Sunday,12
513224,513224,1654278,ad,False,2,Monday,10
484343,484343,1654277,ad,False,5,Thursday,18
489513,489513,1654276,ad,False,2,Sunday,13
168135,168135,1654275,ad,False,13,Monday,8
377401,377401,1654274,ad,False,29,Wednesday,8
410157,410157,1654273,ad,False,5,Wednesday,16
581928,581928,1654272,ad,False,4,Monday,14
472885,472885,1654271,ad,False,3,Saturday,14
191532,191532,1654270,ad,False,22,Wednesday,12
379311,379311,1654269,ad,False,36,Wednesday,13
509717,509717,1654268,ad,False,5,Tuesday,15
540602,540602,1654267,ad,False,5,Monday,10
155484,155484,1654266,ad,False,14,Saturday,16
170347,170347,1654265,ad,False,26,Saturday,16
539048,539048,1654264,ad,False,26,Wednesday,21
499524,499524,1654263,ad,False,3,Saturday,1
350001,350001,1654262,ad,False,6,Sunday,13
60083,60083,1654261,ad,False,26,Sunday,13
490539,490539,1654260,ad,False,2,Thursday,23
219675,219675,1654259,ad,False,22,Thursday,22
502631,502631,1654258,ad,False,6,Tuesday,7
517272,517272,1654257,ad,False,1,Wednesday,21
505410,505410,1654256,ad,False,1,Monday,0
203054,203054,1654255,ad,False,21,Friday,21
371876,371876,1654254,ad,False,7,Sunday,21
386217,386217,1654253,ad,False,7,Monday,20
424433,424433,1654252,ad,False,3,Thursday,11
173583,173583,1654251,ad,False,6,Friday,23
151276,151276,1654250,ad,False,1,Wednesday,13
362176,362176,1654249,ad,False,9,Friday,17
337323,337323,1654248,ad,False,35,Saturday,10
269659,269659,1654247,ad,False,11,Tuesday,21
531846,531846,1654246,ad,False,2,Saturday,10
293004,293004,1654245,ad,False,48,Friday,16
257789,257789,1654244,ad,False,11,Thursday,18
488836,488836,1654243,ad,False,6,Thursday,18
130715,130715,1654242,ad,False,154,Saturday,14
582895,582895,1654241,ad,False,4,Monday,17
170843,170843,1654240,ad,False,15,Saturday,14
474853,474853,1654238,ad,False,3,Tuesday,10
292520,292520,1654236,ad,False,1,Friday,10
567689,567689,1654235,ad,False,2,Friday,12
427341,427341,1654233,ad,False,2,Friday,13
536673,536673,1654232,ad,False,12,Monday,9
514025,514025,1654231,ad,False,7,Wednesday,14
472293,472293,1654230,ad,False,18,Saturday,13
154077,154077,1654229,ad,False,11,Thursday,13
576998,576998,1654228,ad,False,3,Monday,10
316759,316759,1654227,ad,False,22,Monday,15
25817,25817,1654226,ad,False,25,Wednesday,19
51432,51432,1654225,ad,False,176,Friday,13
243465,243465,1654223,ad,False,4,Monday,10
212884,212884,1654222,ad,False,8,Wednesday,22
353598,353598,1654221,ad,False,4,Thursday,20
498936,498936,1654220,ad,False,4,Sunday,18
328629,328629,1654219,ad,False,6,Friday,16
39464,39464,1654218,ad,False,36,Friday,1
239231,239231,1654217,ad,False,12,Saturday,17
171174,171174,1654216,ad,False,38,Sunday,21
204004,204004,1654215,ad,False,80,Sunday,19
5895,5895,1654213,ad,False,55,Wednesday,22
475061,475061,1654212,ad,False,6,Sunday,11
431348,431348,1654211,ad,False,12,Friday,22
419800,419800,1654210,ad,False,3,Wednesday,12
285904,285904,1654209,ad,False,28,Thursday,23
574182,574182,1654207,ad,False,1,Saturday,16
202449,202449,1654206,ad,False,15,Sunday,21
258158,258158,1654205,ad,False,3,Wednesday,18
342572,342572,1654204,ad,False,9,Sunday,11
158479,158479,1654203,ad,False,14,Saturday,11
395865,395865,1654201,ad,False,2,Sunday,11
98246,98246,1654200,ad,False,23,Tuesday,18
416899,416899,1654199,ad,False,15,Thursday,8
32011,32011,1654197,ad,False,56,Sunday,16
179966,179966,1654196,ad,False,1,Saturday,22
489317,489317,1654195,ad,False,1,Thursday,19
62083,62083,1654194,ad,False,52,Monday,20
72786,72786,1654193,ad,True,30,Friday,20
243594,243594,1654192,ad,False,42,Sunday,23
3212,3212,1654191,ad,False,42,Tuesday,21
119366,119366,1654190,ad,False,9,Wednesday,12
183706,183706,1654189,ad,False,27,Sunday,12
289247,289247,1654188,ad,False,4,Thursday,21
356496,356496,1654187,ad,False,16,Thursday,21
67494,67494,1654186,ad,False,26,Friday,13
581372,581372,1654185,ad,False,2,Monday,13
186030,186030,1654184,ad,False,4,Sunday,23
561286,561286,1654183,ad,False,2,Wednesday,23
434537,434537,1654182,ad,False,1,Saturday,12
426720,426720,1654181,ad,False,1,Friday,12
96606,96606,1654180,ad,False,177,Wednesday,10
231564,231564,1654179,ad,False,9,Sunday,14
344394,344394,1654178,ad,False,10,Friday,3
476598,476598,1654177,ad,False,3,Sunday,23
411655,411655,1654176,ad,False,1,Wednesday,18
396418,396418,1654175,ad,False,4,Sunday,20
208484,208484,1654174,ad,False,20,Wednesday,14
116721,116721,1654173,ad,False,18,Saturday,17
344962,344962,1654172,ad,False,1,Sunday,18
551779,551779,1654171,ad,False,1,Tuesday,12
413872,413872,1654169,ad,False,13,Wednesday,22
176090,176090,1654168,ad,False,74,Saturday,18
413641,413641,1654167,ad,False,9,Wednesday,23
225485,225485,1654166,ad,False,11,Friday,19
277855,277855,1654165,ad,False,15,Sunday,17
87994,87994,1654164,ad,False,41,Tuesday,21
430969,430969,1654163,ad,False,1,Friday,21
216809,216809,1654162,ad,False,9,Thursday,12
196288,196288,1654161,ad,False,2,Tuesday,12
523723,523723,1654160,ad,False,16,Friday,9
290316,290316,1654159,ad,False,29,Sunday,23
567068,567068,1654157,ad,False,7,Friday,23
415672,415672,1654155,ad,False,4,Wednesday,23
546033,546033,1654154,ad,False,4,Monday,16
238797,238797,1654153,ad,False,47,Saturday,15
357551,357551,1654152,ad,False,22,Thursday,10
404005,404005,1654151,ad,False,15,Tuesday,17
454277,454277,1654149,ad,False,3,Monday,11
118666,118666,1654148,ad,False,61,Saturday,18
328410,328410,1654147,ad,False,30,Wednesday,13
212434,212434,1654146,ad,False,103,Tuesday,7
538111,538111,1654145,ad,False,47,Sunday,16
99704,99704,1654144,ad,True,54,Friday,12
477009,477009,1654143,ad,False,2,Monday,10
274448,274448,1654142,ad,False,63,Saturday,22
427224,427224,1654141,ad,False,3,Friday,13
504150,504150,1654139,ad,False,1,Sunday,16
568578,568578,1654138,ad,False,4,Friday,13
91319,91319,1654137,ad,False,37,Sunday,11
118933,118933,1654136,ad,False,22,Thursday,21
95606,95606,1654134,ad,False,52,Sunday,17
532299,532299,1654133,ad,False,2,Saturday,11
411236,411236,1654132,ad,False,16,Wednesday,17
544216,544216,1654131,ad,False,1,Monday,14
179322,179322,1654129,ad,False,29,Sunday,11
517144,517144,1654127,ad,False,27,Thursday,19
411431,411431,1654126,ad,False,1,Wednesday,18
78886,78886,1654125,ad,False,32,Friday,17
396710,396710,1654124,ad,False,46,Sunday,11
209643,209643,1654123,ad,False,23,Thursday,16
192398,192398,1654122,ad,False,39,Tuesday,10
332860,332860,1654121,ad,False,34,Saturday,20
43704,43704,1654120,ad,False,79,Saturday,21
261294,261294,1654119,ad,False,11,Tuesday,21
320905,320905,1654118,ad,False,4,Saturday,21
271633,271633,1654117,ad,False,17,Wednesday,9
107190,107190,1654116,ad,False,66,Friday,12
479975,479975,1654115,ad,False,14,Tuesday,14
166354,166354,1654112,ad,False,20,Saturday,22
352068,352068,1654111,ad,False,21,Tuesday,21
477442,477442,1654110,ad,True,54,Tuesday,15
113873,113873,1654109,ad,True,176,Saturday,23
256869,256869,1654108,ad,False,20,Monday,12
527594,527594,1654107,ad,False,6,Friday,15
456260,456260,1654106,ad,False,4,Tuesday,17
241962,241962,1654105,ad,False,2,Saturday,22
122753,122753,1654104,ad,False,4,Sunday,9
573127,573127,1654103,ad,False,1,Saturday,13
418372,418372,1654102,ad,False,1,Thursday,11
286563,286563,1654101,ad,False,15,Friday,16
540155,540155,1654100,ad,False,2,Monday,9
313260,313260,1654099,ad,False,16,Sunday,21
467628,467628,1654098,ad,False,1,Friday,9
312446,312446,1654097,ad,False,20,Tuesday,10
579359,579359,1654096,ad,False,1,Monday,8
509886,509886,1654095,ad,False,29,Saturday,18
576093,576093,1654094,ad,False,16,Tuesday,10
426818,426818,1654093,ad,False,8,Sunday,15
330139,330139,1654092,ad,False,36,Saturday,20
85810,85810,1654091,ad,False,30,Monday,20
504494,504494,1654089,ad,False,2,Sunday,17
283082,283082,1654088,ad,False,12,Thursday,12
252974,252974,1654087,ad,False,8,Monday,10
586676,586676,1654086,ad,False,24,Tuesday,21
433256,433256,1654085,ad,False,12,Saturday,10
57601,57601,1654084,ad,False,192,Friday,0
442913,442913,1654083,ad,False,1,Sunday,11
293578,293578,1654082,ad,False,32,Monday,15
166114,166114,1654081,ad,False,2,Friday,10
43934,43934,1654080,ad,False,56,Friday,21
585471,585471,1654079,ad,False,5,Tuesday,15
587320,587320,1654078,ad,False,22,Tuesday,17
584656,584656,1654077,ad,False,5,Tuesday,1
585209,585209,1654076,ad,False,8,Tuesday,9
584241,584241,1654075,ad,False,24,Monday,22
583550,583550,1654074,ad,False,2,Monday,19
582580,582580,1654073,ad,False,1,Monday,16
581184,581184,1654072,ad,False,5,Monday,13
580123,580123,1654071,ad,False,5,Monday,11
580891,580891,1654070,ad,False,24,Monday,12
582712,582712,1654069,ad,False,2,Monday,16
580952,580952,1654068,ad,False,2,Monday,12
577395,577395,1654066,ad,False,1,Sunday,14
579442,579442,1654063,ad,False,24,Monday,8
578962,578962,1654062,ad,False,7,Sunday,22
574909,574909,1654061,ad,False,3,Saturday,20
571918,571918,1654060,ad,False,2,Saturday,9
580791,580791,1654059,ad,False,2,Monday,23
576552,576552,1654058,ad,False,1,Sunday,11
569711,569711,1654057,ad,False,1,Friday,16
569309,569309,1654056,ad,False,6,Friday,15
568204,568204,1654055,ad,False,2,Friday,13
569086,569086,1654054,ad,False,18,Friday,15
567302,567302,1654053,ad,False,4,Friday,11
579492,579492,1654052,ad,False,2,Monday,9
568672,568672,1654051,ad,False,3,Friday,14
580832,580832,1654050,ad,False,4,Monday,12
566863,566863,1654049,ad,False,2,Friday,10
576402,576402,1654048,ad,False,1,Sunday,10
576613,576613,1654047,ad,False,2,Sunday,11
579726,579726,1654046,ad,False,2,Monday,9
568270,568270,1654045,ad,False,2,Friday,13
581922,581922,1654044,ad,False,2,Monday,14
582654,582654,1654043,ad,False,2,Monday,16
563460,563460,1654042,ad,False,1,Thursday,12
580916,580916,1654041,ad,False,5,Monday,12
563484,563484,1654040,ad,False,1,Thursday,12
570346,570346,1654039,ad,False,19,Friday,19
571954,571954,1654038,ad,False,21,Monday,14
562341,562341,1654037,ad,False,4,Tuesday,14
568413,568413,1654036,ad,False,1,Friday,13
570106,570106,1654035,ad,False,18,Saturday,17
561770,561770,1654032,ad,False,4,Thursday,12
558450,558450,1654030,ad,False,2,Wednesday,13
580980,580980,1654028,ad,False,6,Monday,12
556489,556489,1654027,ad,False,5,Wednesday,11
556694,556694,1654026,ad,False,12,Wednesday,11
556418,556418,1654024,ad,False,5,Wednesday,11
555664,555664,1654022,ad,False,1,Wednesday,10
556972,556972,1654021,ad,False,1,Wednesday,12
558013,558013,1654020,ad,False,2,Wednesday,15
556574,556574,1654018,ad,False,7,Wednesday,11
560036,560036,1654015,ad,False,24,Wednesday,19
563153,563153,1654014,ad,False,27,Thursday,17
582198,582198,1654012,ad,False,14,Tuesday,12
558020,558020,1654011,ad,False,4,Wednesday,13
583554,583554,1654010,ad,False,3,Monday,19
556363,556363,1654009,ad,False,24,Wednesday,11
563098,563098,1654007,ad,False,1,Thursday,11
552007,552007,1654006,ad,False,1,Tuesday,13
549841,549841,1654005,ad,False,8,Tuesday,13
549451,549451,1654003,ad,False,13,Tuesday,6
572831,572831,1654002,ad,False,24,Sunday,12
553935,553935,1654001,ad,False,20,Wednesday,10
570224,570224,1653999,ad,False,9,Friday,18
545384,545384,1653998,ad,False,5,Monday,15
559006,559006,1653997,ad,False,6,Wednesday,15
544571,544571,1653994,ad,False,1,Monday,14
544256,544256,1653993,ad,False,4,Monday,16
544069,544069,1653992,ad,False,12,Monday,14
551173,551173,1653990,ad,False,2,Tuesday,11
581353,581353,1653989,ad,False,2,Monday,13
546669,546669,1653988,ad,False,1,Monday,17
550045,550045,1653986,ad,False,2,Tuesday,10
544299,544299,1653985,ad,False,1,Monday,14
542391,542391,1653984,ad,False,1,Monday,12
542721,542721,1653983,ad,False,1,Monday,13
557911,557911,1653982,ad,False,24,Wednesday,13
542494,542494,1653981,ad,False,6,Tuesday,11
543467,543467,1653980,ad,False,17,Monday,13
541633,541633,1653979,ad,False,7,Monday,11
541646,541646,1653976,ad,False,2,Monday,11
558512,558512,1653973,ad,False,25,Wednesday,15
581131,581131,1653972,ad,False,2,Monday,13
538136,538136,1653971,ad,False,2,Sunday,15
538110,538110,1653970,ad,False,21,Sunday,16
553564,553564,1653969,ad,False,1,Tuesday,16
560789,560789,1653968,ad,False,24,Wednesday,21
583243,583243,1653966,ad,False,4,Monday,8
536934,536934,1653965,ad,False,20,Sunday,11
535836,535836,1653964,ad,False,3,Sunday,4
535800,535800,1653963,ad,False,7,Sunday,2
535242,535242,1653961,ad,False,2,Saturday,21
535429,535429,1653960,ad,False,25,Sunday,8
565843,565843,1653959,ad,False,24,Thursday,21
541695,541695,1653958,ad,False,1,Monday,11
533509,533509,1653956,ad,False,1,Saturday,15
534199,534199,1653955,ad,False,3,Saturday,17
532255,532255,1653954,ad,False,1,Saturday,11
531944,531944,1653953,ad,False,5,Saturday,11
531758,531758,1653952,ad,False,5,Saturday,10
541286,541286,1653951,ad,False,1,Monday,11
578119,578119,1653950,ad,False,5,Sunday,17
560411,560411,1653949,ad,False,1,Wednesday,20
531259,531259,1653948,ad,False,2,Saturday,9
544766,544766,1653947,ad,False,26,Monday,15
569746,569746,1653946,ad,False,7,Friday,16
533118,533118,1653945,ad,False,3,Saturday,13
531873,531873,1653944,ad,False,1,Saturday,10
535827,535827,1653943,ad,False,25,Sunday,8
550875,550875,1653942,ad,False,4,Tuesday,11
535301,535301,1653941,ad,False,2,Saturday,21
580004,580004,1653940,ad,False,23,Tuesday,16
528270,528270,1653939,ad,False,1,Friday,16
585230,585230,1653938,ad,False,17,Tuesday,15
568873,568873,1653937,ad,False,17,Friday,14
544067,544067,1653936,ad,False,16,Tuesday,10
526087,526087,1653935,ad,False,4,Friday,13
525939,525939,1653934,ad,False,17,Friday,14
549796,549796,1653933,ad,False,9,Tuesday,16
583700,583700,1653932,ad,False,18,Monday,11
541612,541612,1653931,ad,False,19,Tuesday,11
529728,529728,1653930,ad,False,10,Friday,20
540648,540648,1653929,ad,False,18,Tuesday,10
523620,523620,1653928,ad,False,1,Friday,10
525686,525686,1653927,ad,False,2,Friday,13
561765,561765,1653924,ad,False,10,Tuesday,8
523384,523384,1653923,ad,False,1,Friday,10
558224,558224,1653922,ad,False,5,Wednesday,13
524483,524483,1653921,ad,False,7,Friday,12
541969,541969,1653920,ad,False,1,Monday,12
538406,538406,1653919,ad,False,14,Sunday,16
526486,526486,1653918,ad,False,6,Friday,14
524765,524765,1653917,ad,False,8,Friday,12
526856,526856,1653916,ad,False,1,Friday,14
554357,554357,1653915,ad,False,4,Monday,16
552861,552861,1653914,ad,False,3,Tuesday,14
522291,522291,1653912,ad,False,17,Thursday,22
522101,522101,1653911,ad,False,6,Thursday,21
569894,569894,1653910,ad,False,1,Friday,17
525874,525874,1653909,ad,False,4,Friday,13
520537,520537,1653908,ad,False,4,Thursday,15
546909,546909,1653907,ad,False,3,Wednesday,18
569456,569456,1653906,ad,False,18,Monday,14
566774,566774,1653905,ad,False,6,Friday,10
520529,520529,1653904,ad,False,1,Thursday,15
562391,562391,1653903,ad,False,1,Thursday,9
565913,565913,1653902,ad,False,3,Tuesday,21
517524,517524,1653901,ad,False,4,Wednesday,22
546663,546663,1653900,ad,False,10,Monday,18
526667,526667,1653899,ad,False,17,Friday,23
557996,557996,1653898,ad,False,7,Wednesday,21
516160,516160,1653897,ad,False,3,Wednesday,19
535479,535479,1653896,ad,False,2,Saturday,22
515255,515255,1653895,ad,False,4,Wednesday,17
520330,520330,1653894,ad,False,3,Thursday,15
527361,527361,1653892,ad,False,20,Friday,15
513812,513812,1653891,ad,False,1,Wednesday,14
569253,569253,1653890,ad,False,15,Tuesday,17
515070,515070,1653889,ad,False,7,Saturday,17
513350,513350,1653888,ad,False,16,Wednesday,18
511999,511999,1653887,ad,False,1,Wednesday,11
556878,556878,1653886,ad,False,7,Wednesday,12
586590,586590,1653885,ad,False,9,Tuesday,14
511450,511450,1653884,ad,False,8,Wednesday,10
562214,562214,1653883,ad,False,2,Thursday,9
511853,511853,1653881,ad,False,2,Wednesday,11
545252,545252,1653879,ad,False,24,Monday,15
511599,511599,1653878,ad,False,2,Wednesday,11
574130,574130,1653877,ad,False,4,Saturday,16
511259,511259,1653876,ad,False,2,Wednesday,9
511736,511736,1653875,ad,False,5,Wednesday,11
545123,545123,1653873,ad,False,5,Monday,15
551129,551129,1653872,ad,False,2,Tuesday,11
516135,516135,1653871,ad,False,21,Wednesday,19
525175,525175,1653870,ad,False,5,Friday,14
563027,563027,1653869,ad,False,26,Friday,10
542498,542498,1653868,ad,False,24,Tuesday,9
562086,562086,1653867,ad,False,4,Thursday,9
509609,509609,1653865,ad,False,1,Tuesday,16
563561,563561,1653864,ad,False,2,Thursday,12
513899,513899,1653863,ad,False,4,Friday,10
508963,508963,1653862,ad,False,3,Tuesday,13
555083,555083,1653861,ad,False,1,Wednesday,9
521292,521292,1653860,ad,False,19,Thursday,23
535168,535168,1653859,ad,False,15,Saturday,23
508557,508557,1653858,ad,False,6,Tuesday,10
535860,535860,1653857,ad,False,2,Sunday,7
538485,538485,1653856,ad,False,1,Sunday,16
522536,522536,1653855,ad,False,3,Friday,0
553969,553969,1653853,ad,False,6,Tuesday,18
545021,545021,1653850,ad,False,6,Tuesday,10
523824,523824,1653849,ad,False,7,Friday,11
577118,577118,1653848,ad,False,1,Sunday,13
564700,564700,1653847,ad,False,3,Thursday,16
528057,528057,1653846,ad,False,7,Friday,16
543444,543444,1653845,ad,False,12,Monday,16
552025,552025,1653844,ad,False,6,Saturday,11
506332,506332,1653843,ad,False,3,Monday,12
587141,587141,1653842,ad,False,4,Tuesday,16
505882,505882,1653841,ad,False,1,Monday,10
505764,505764,1653840,ad,False,1,Monday,9
507656,507656,1653838,ad,False,5,Tuesday,8
534569,534569,1653837,ad,False,30,Sunday,12
504349,504349,1653836,ad,False,5,Sunday,17
515108,515108,1653835,ad,False,5,Wednesday,17
502965,502965,1653834,ad,False,4,Sunday,13
563266,563266,1653832,ad,False,24,Thursday,12
501617,501617,1653831,ad,False,28,Sunday,9
572759,572759,1653830,ad,False,2,Saturday,11
503572,503572,1653829,ad,False,1,Sunday,15
517447,517447,1653828,ad,False,3,Wednesday,21
508804,508804,1653827,ad,False,3,Tuesday,12
516912,516912,1653825,ad,False,17,Wednesday,20
563364,563364,1653824,ad,False,3,Thursday,12
547731,547731,1653823,ad,False,6,Sunday,17
562190,562190,1653822,ad,False,6,Thursday,9
499028,499028,1653821,ad,False,1,Saturday,15
505413,505413,1653820,ad,False,6,Monday,0
539885,539885,1653819,ad,False,24,Monday,3
569865,569865,1653818,ad,False,5,Saturday,12
569252,569252,1653817,ad,False,19,Monday,2
541561,541561,1653816,ad,False,8,Monday,12
494686,494686,1653815,ad,False,2,Friday,16
584693,584693,1653814,ad,False,1,Tuesday,1
580767,580767,1653813,ad,False,25,Monday,12
493314,493314,1653812,ad,False,1,Friday,13
492369,492369,1653811,ad,False,4,Friday,11
